constructorResultsId,raceId,constructorId,points,status
15100,934,15,0.0,\N
15101,934,209,0.0,\N
15102,934,5,0.0,\N
15103,934,208,0.0,\N
15104,936,6,25.0,\N
15105,936,9,33.0,\N
15106,936,5,12.0,\N
15107,936,1,12.0,\N
15108,936,131,12.0,\N
15109,936,208,6.0,\N
15110,936,15,1.0,\N
15111,936,3,0.0,\N
15112,936,209,0.0,\N
15113,936,10,0.0,\N
15114,937,131,43.0,\N
15115,937,208,15.0,\N
15116,937,9,12.0,\N
15117,937,10,10.0,\N
15118,937,3,10.0,\N
15119,937,6,6.0,\N
15120,937,5,4.0,\N
15121,937,15,1.0,\N
15122,937,1,0.0,\N
15123,937,206,0.0,\N
15124,937,209,0.0,\N
15125,938,131,25.0,\N
15126,938,6,28.0,\N
15127,938,3,27.0,\N
15128,938,10,14.0,\N
15129,938,9,5.0,\N
15130,938,15,2.0,\N
15131,938,5,0.0,\N
15132,938,1,0.0,\N
15133,938,209,0.0,\N
15134,938,208,0.0,\N
15135,939,6,40.0,\N
15136,939,9,26.0,\N
15137,939,131,12.0,\N
15138,939,3,10.0,\N
15139,939,10,6.0,\N
15140,939,5,6.0,\N
15141,939,15,1.0,\N
15142,939,208,0.0,\N
15143,939,209,0.0,\N
15144,939,1,0.0,\N
15145,940,131,43.0,\N
15146,940,6,27.0,\N
15147,940,3,10.0,\N
15148,940,10,8.0,\N
15149,940,208,10.0,\N
15150,940,5,3.0,\N
15151,940,1,0.0,\N
15152,940,9,0.0,\N
15153,940,15,0.0,\N
15154,940,209,0.0,\N
15155,941,131,25.0,\N
15156,941,6,22.0,\N
15157,941,10,15.0,\N
15158,941,3,12.0,\N
15159,941,9,10.0,\N
15160,941,15,8.0,\N
15161,941,208,6.0,\N
15162,941,1,2.0,\N
15163,941,5,1.0,\N
15164,941,209,0.0,\N
15165,941,206,0.0,\N
15166,942,131,43.0,\N
15167,942,6,15.0,\N
15168,942,5,18.0,\N
15169,942,10,10.0,\N
15170,942,1,8.0,\N
15171,942,208,4.0,\N
15172,942,15,2.0,\N
15173,942,9,1.0,\N
15174,942,209,0.0,\N
15175,942,3,0.0,\N
15176,943,131,43.0,\N
15177,943,3,23.0,\N
15178,943,9,22.0,\N
15179,943,10,10.0,\N
15180,943,5,2.0,\N
15181,943,208,1.0,\N
15182,943,15,0.0,\N
15183,943,1,0.0,\N
15184,943,206,0.0,\N
15185,943,6,0.0,\N
15186,944,131,43.0,\N
15187,944,6,27.0,\N
15188,944,3,10.0,\N
15189,944,10,8.0,\N
15190,944,9,6.0,\N
15191,944,208,5.0,\N
15192,944,5,2.0,\N
15193,944,15,0.0,\N
15194,944,1,0.0,\N
15195,944,209,0.0,\N
15196,943,209,0.0,\N
15197,945,131,43.0,\N
15198,945,6,27.0,\N
15199,945,10,16.0,\N
15200,945,9,9.0,\N
15201,945,3,4.0,\N
15202,945,208,2.0,\N
15203,945,5,0.0,\N
15204,945,1,0.0,\N
15205,945,15,0.0,\N
15206,945,206,0.0,\N
15207,945,209,0.0,\N
15208,948,131,43.0,\N
15209,948,6,15.0,\N
15210,948,9,12.0,\N
15211,948,3,14.0,\N
15212,948,210,8.0,\N
15213,948,10,6.0,\N
15214,948,5,3.0,\N
15215,948,4,0.0,\N
15216,948,1,0.0,\N
15217,948,15,0.0,\N
15218,948,209,0.0,\N
15219,949,131,40.0,\N
15220,949,6,18.0,\N
15221,949,9,18.0,\N
15222,949,210,10.0,\N
15223,949,5,8.0,\N
15224,949,3,6.0,\N
15225,949,1,1.0,\N
15226,949,4,0.0,\N
15227,949,15,0.0,\N
15228,949,209,0.0,\N
15229,949,10,0.0,\N
15230,950,131,31.0,\N
15231,950,6,28.0,\N
15232,950,9,27.0,\N
15233,950,3,9.0,\N
15234,950,5,6.0,\N
15235,950,10,0.0,\N
15236,950,1,0.0,\N
15237,950,210,0.0,\N
15238,950,15,0.0,\N
15239,950,4,0.0,\N
15240,950,209,0.0,\N
15241,951,131,43.0,\N
15242,951,6,15.0,\N
15243,951,3,22.0,\N
15244,951,1,9.0,\N
15245,951,4,6.0,\N
15246,951,210,4.0,\N
15247,951,10,2.0,\N
15248,951,9,0.0,\N
15249,951,5,0.0,\N
15250,951,15,0.0,\N
15251,951,209,0.0,\N
15252,952,9,37.0,\N
15253,952,6,33.0,\N
15254,952,3,14.0,\N
15255,952,5,9.0,\N
15256,952,10,6.0,\N
15257,952,1,2.0,\N
15258,952,210,0.0,\N
15259,952,15,0.0,\N
15260,952,4,0.0,\N
15261,952,209,0.0,\N
15262,952,131,0.0,\N
15263,953,131,31.0,\N
15264,953,9,18.0,\N
15265,953,10,23.0,\N
15266,953,6,12.0,\N
15267,953,1,12.0,\N
15268,953,5,4.0,\N
15269,953,3,1.0,\N
15270,953,210,0.0,\N
15271,953,209,0.0,\N
15272,953,15,0.0,\N
15273,953,4,0.0,\N
15274,954,131,35.0,\N
15275,954,6,26.0,\N
15276,954,3,15.0,\N
15277,954,9,18.0,\N
15278,954,10,5.0,\N
15279,954,5,2.0,\N
15280,954,1,0.0,\N
15281,954,210,0.0,\N
15282,954,15,0.0,\N
15283,954,4,0.0,\N
15284,954,209,0.0,\N
15285,955,131,35.0,\N
15286,955,6,30.0,\N
15287,955,10,17.0,\N
15288,955,3,9.0,\N
15289,955,9,10.0,\N
15290,955,1,0.0,\N
15291,955,15,0.0,\N
15292,955,210,0.0,\N
15293,955,4,0.0,\N
15294,955,209,0.0,\N
15295,955,5,0.0,\N
15296,956,131,37.0,\N
15297,956,9,28.0,\N
15298,956,6,15.0,\N
15299,956,1,8.0,\N
15300,956,210,6.0,\N
15301,956,5,4.0,\N
15302,956,3,2.0,\N
15303,956,209,1.0,\N
15304,956,4,0.0,\N
15305,956,15,0.0,\N
15306,956,10,0.0,\N
15307,957,131,40.0,\N
15308,957,9,30.0,\N
15309,957,6,12.0,\N
15310,957,10,14.0,\N
15311,957,5,5.0,\N
15312,957,3,0.0,\N
15313,957,1,0.0,\N
15314,957,15,0.0,\N
15315,957,210,0.0,\N
15316,957,4,0.0,\N
15317,957,209,0.0,\N
15318,958,131,43.0,\N
15319,958,9,25.0,\N
15320,958,6,20.0,\N
15321,958,1,6.0,\N
15322,958,5,4.0,\N
15323,958,3,2.0,\N
15324,958,10,1.0,\N
15325,958,4,0.0,\N
15326,958,210,0.0,\N
15327,958,15,0.0,\N
15328,958,209,0.0,\N
15329,959,131,37.0,\N
15330,959,9,33.0,\N
15331,959,6,18.0,\N
15332,959,10,7.0,\N
15333,959,1,4.0,\N
15334,959,3,2.0,\N
15335,959,210,0.0,\N
15336,959,5,0.0,\N
15337,959,4,0.0,\N
15338,959,209,0.0,\N
15339,959,15,0.0,\N
15340,960,131,40.0,\N
15341,960,9,18.0,\N
15342,960,10,22.0,\N
15343,960,6,10.0,\N
15344,960,1,6.0,\N
15345,960,3,5.0,\N
15346,960,210,0.0,\N
15347,960,5,0.0,\N
15348,960,4,0.0,\N
15349,960,209,0.0,\N
15350,960,15,0.0,\N
15351,961,131,43.0,\N
15352,961,6,27.0,\N
15353,961,9,16.0,\N
15354,961,3,10.0,\N
15355,961,10,5.0,\N
15356,961,210,0.0,\N
15357,961,1,0.0,\N
15358,961,5,0.0,\N
15359,961,15,0.0,\N
15360,961,4,0.0,\N
15361,961,209,0.0,\N
15362,962,131,40.0,\N
15363,962,9,26.0,\N
15364,962,6,22.0,\N
15365,962,1,6.0,\N
15366,962,10,4.0,\N
15367,962,5,2.0,\N
15368,962,4,1.0,\N
15369,962,210,0.0,\N
15370,962,3,0.0,\N
15371,962,15,0.0,\N
15372,962,209,0.0,\N
15373,963,9,43.0,\N
15374,963,131,15.0,\N
15375,963,6,12.0,\N
15376,963,3,10.0,\N
15377,963,10,12.0,\N
15378,963,1,8.0,\N
15379,963,4,1.0,\N
15380,963,5,0.0,\N
15381,963,15,0.0,\N
15382,963,209,0.0,\N
15383,963,210,0.0,\N
15384,964,131,40.0,\N
15385,964,9,26.0,\N
15386,964,6,22.0,\N
15387,964,10,10.0,\N
15388,964,3,3.0,\N
15389,964,210,0.0,\N
15390,964,4,0.0,\N
15391,964,5,0.0,\N
15392,964,15,0.0,\N
15393,964,1,0.0,\N
15394,964,209,0.0,\N
15395,965,131,43.0,\N
15396,965,9,15.0,\N
15397,965,6,12.0,\N
15398,965,1,12.0,\N
15399,965,5,8.0,\N
15400,965,3,6.0,\N
15401,965,10,4.0,\N
15402,965,210,1.0,\N
15403,965,4,0.0,\N
15404,965,15,0.0,\N
15405,965,209,0.0,\N
15406,966,131,43.0,\N
15407,966,6,18.0,\N
15408,966,9,27.0,\N
15409,966,10,7.0,\N
15410,966,3,6.0,\N
15411,966,15,0.0,\N
15412,966,1,0.0,\N
15413,966,4,0.0,\N
15414,966,5,0.0,\N
15415,966,210,0.0,\N
15416,966,209,0.0,\N
15417,967,131,43.0,\N
15418,967,9,19.0,\N
15419,967,10,18.0,\N
15420,967,6,10.0,\N
15421,967,5,8.0,\N
15422,967,15,2.0,\N
15423,967,1,1.0,\N
15424,967,3,0.0,\N
15425,967,209,0.0,\N
15426,967,4,0.0,\N
15427,967,210,0.0,\N
15428,968,131,43.0,\N
15429,968,6,23.0,\N
15430,968,9,22.0,\N
15431,968,10,10.0,\N
15432,968,3,2.0,\N
15433,968,1,1.0,\N
15434,968,210,0.0,\N
15435,968,209,0.0,\N
15436,968,15,0.0,\N
15437,968,4,0.0,\N
15438,968,5,0.0,\N
15439,969,6,37.0,\N
15440,969,131,33.0,\N
15441,969,9,10.0,\N
15442,969,3,8.0,\N
15443,969,10,7.0,\N
15444,969,5,6.0,\N
15445,969,4,0.0,\N
15446,969,15,0.0,\N
15447,969,1,0.0,\N
15448,969,210,0.0,\N
15449,970,131,33.0,\N
15450,970,6,28.0,\N
15451,970,9,27.0,\N
15452,970,5,6.0,\N
15453,970,210,4.0,\N
15454,970,10,3.0,\N
15455,970,4,0.0,\N
15456,970,3,0.0,\N
15457,970,15,0.0,\N
15458,970,1,0.0,\N
15459,971,6,37.0,\N
15460,971,131,33.0,\N
15461,971,9,10.0,\N
15462,971,3,8.0,\N
15463,971,10,7.0,\N
15464,971,210,4.0,\N
15465,971,4,2.0,\N
15466,971,15,0.0,\N
15467,971,5,0.0,\N
15468,971,1,0.0,\N
15469,972,131,37.0,\N
15470,972,6,33.0,\N
15471,972,9,10.0,\N
15472,972,10,14.0,\N
15473,972,4,4.0,\N
15474,972,3,2.0,\N
15475,972,5,1.0,\N
15476,972,210,0.0,\N
15477,972,1,0.0,\N
15478,972,15,0.0,\N
15479,973,131,25.0,\N
15480,973,6,18.0,\N
15481,973,9,15.0,\N
15482,973,10,22.0,\N
15483,973,4,8.0,\N
15484,973,5,8.0,\N
15485,973,15,4.0,\N
15486,973,210,1.0,\N
15487,973,1,0.0,\N
15488,973,3,0.0,\N
15489,974,6,43.0,\N
15490,974,9,25.0,\N
15491,974,131,18.0,\N
15492,974,5,8.0,\N
15493,974,210,5.0,\N
15494,974,3,2.0,\N
15495,974,4,0.0,\N
15496,974,10,0.0,\N
15497,974,1,0.0,\N
15498,974,15,0.0,\N
15499,975,131,43.0,\N
15500,975,9,15.0,\N
15501,975,6,18.0,\N
15502,975,10,18.0,\N
15503,975,4,4.0,\N
15504,975,3,2.0,\N
15505,975,210,1.0,\N
15506,975,15,0.0,\N
15507,975,1,0.0,\N
15508,975,5,0.0,\N
15509,976,9,25.0,\N
15510,976,131,28.0,\N
15511,976,3,15.0,\N
15512,976,6,12.0,\N
15513,976,10,8.0,\N
15514,976,210,6.0,\N
15515,976,5,4.0,\N
15516,976,1,2.0,\N
15517,976,15,1.0,\N
15518,976,4,0.0,\N
15520,977,131,37.0,\N
15521,977,6,28.0,\N
15522,977,9,15.0,\N
15523,977,210,8.0,\N
15524,977,10,10.0,\N
15525,977,3,3.0,\N
15526,977,4,0.0,\N
15527,977,1,0.0,\N
15528,977,15,0.0,\N
15529,977,5,0.0,\N
15530,978,131,43.0,\N
15531,978,6,21.0,\N
15532,978,9,22.0,\N
15533,978,4,8.0,\N
15534,978,10,6.0,\N
15535,978,3,1.0,\N
15536,978,1,0.0,\N
15537,978,210,0.0,\N
15538,978,15,0.0,\N
15539,978,5,0.0,\N
15540,979,6,43.0,\N
15541,979,131,27.0,\N
15542,979,9,10.0,\N
15543,979,1,9.0,\N
15544,979,5,6.0,\N
15545,979,10,6.0,\N
15546,979,4,0.0,\N
15547,979,210,0.0,\N
15548,979,3,0.0,\N
15549,979,15,0.0,\N
15550,980,131,35.0,\N
15551,980,6,30.0,\N
15552,980,9,15.0,\N
15553,980,4,8.0,\N
15554,980,210,6.0,\N
15555,980,3,4.0,\N
15556,980,10,2.0,\N
15557,980,5,1.0,\N
15558,980,1,0.0,\N
15559,980,15,0.0,\N
15560,981,131,43.0,\N
15561,981,6,25.0,\N
15562,981,9,13.0,\N
15563,981,10,10.0,\N
15564,981,3,10.0,\N
15565,981,210,0.0,\N
15566,981,5,0.0,\N
15567,981,4,0.0,\N
15568,981,15,0.0,\N
15569,981,1,0.0,\N
15570,982,131,40.0,\N
15571,982,9,18.0,\N
15572,982,5,12.0,\N
15573,982,10,11.0,\N
15574,982,4,8.0,\N
15575,982,1,6.0,\N
15576,982,3,4.0,\N
15577,982,210,2.0,\N
15578,982,15,0.0,\N
15579,982,6,0.0,\N
15580,983,9,40.0,\N
15581,983,131,28.0,\N
15582,983,6,12.0,\N
15583,983,10,9.0,\N
15584,983,1,6.0,\N
15585,983,3,6.0,\N
15586,983,210,0.0,\N
15587,983,5,0.0,\N
15588,983,4,0.0,\N
15589,983,15,0.0,\N
15590,984,131,37.0,\N
15591,984,9,33.0,\N
15592,984,6,10.0,\N
15593,984,10,14.0,\N
15594,984,210,6.0,\N
15595,984,3,1.0,\N
15596,984,1,0.0,\N
15597,984,4,0.0,\N
15598,984,5,0.0,\N
15599,984,15,0.0,\N
15600,985,131,35.0,\N
15601,985,6,33.0,\N
15602,985,9,12.0,\N
15603,985,10,12.0,\N
15604,985,4,6.0,\N
15605,985,3,2.0,\N
15606,985,5,1.0,\N
15607,985,1,0.0,\N
15608,985,210,0.0,\N
15609,985,15,0.0,\N
15610,986,9,25.0,\N
15611,986,131,20.0,\N
15612,986,6,27.0,\N
15613,986,10,16.0,\N
15614,986,3,8.0,\N
15615,986,210,4.0,\N
15616,986,1,1.0,\N
15617,986,5,0.0,\N
15618,986,15,0.0,\N
15619,986,4,0.0,\N
15620,987,6,40.0,\N
15621,987,131,30.0,\N
15622,987,9,18.0,\N
15623,987,3,6.0,\N
15624,987,1,4.0,\N
15625,987,10,2.0,\N
15626,987,4,1.0,\N
15627,987,5,0.0,\N
15628,987,15,0.0,\N
15629,987,210,0.0,\N
15630,988,131,43.0,\N
15631,988,6,27.0,\N
15632,988,9,10.0,\N
15633,988,4,8.0,\N
15634,988,10,10.0,\N
15635,988,1,2.0,\N
15636,988,3,1.0,\N
15637,988,210,0.0,\N
15638,988,15,0.0,\N
15639,988,5,0.0,\N
15640,989,6,40.0,\N
15641,989,131,22.0,\N
15642,989,9,20.0,\N
15643,989,1,12.0,\N
15644,989,4,7.0,\N
15645,989,10,0.0,\N
15646,989,15,0.0,\N
15647,989,3,0.0,\N
15648,989,5,0.0,\N
15649,989,210,0.0,\N
15650,990,6,25.0,\N
15651,990,131,33.0,\N
15652,990,5,12.0,\N
15653,990,210,10.0,\N
15654,990,4,8.0,\N
15655,990,1,10.0,\N
15656,990,15,2.0,\N
15657,990,10,1.0,\N
15658,990,3,0.0,\N
15659,990,9,0.0,\N
15660,991,9,35.0,\N
15661,991,131,30.0,\N
15662,991,6,19.0,\N
15663,991,4,10.0,\N
15664,991,1,6.0,\N
15665,991,210,1.0,\N
15666,991,10,0.0,\N
15667,991,3,0.0,\N
15668,991,15,0.0,\N
15669,991,5,0.0,\N
15670,992,131,25.0,\N
15671,992,6,30.0,\N
15672,992,10,15.0,\N
15673,992,4,10.0,\N
15674,992,15,8.0,\N
15675,992,1,8.0,\N
15676,992,3,4.0,\N
15677,992,5,1.0,\N
15678,992,210,0.0,\N
15679,992,9,0.0,\N
15680,993,131,43.0,\N
15681,993,9,25.0,\N
15682,993,6,12.0,\N
15683,993,210,8.0,\N
15684,993,4,6.0,\N
15685,993,1,4.0,\N
15686,993,10,2.0,\N
15687,993,15,1.0,\N
15688,993,3,0.0,\N
15689,993,5,0.0,\N
15690,994,9,27.0,\N
15691,994,6,30.0,\N
15692,994,131,25.0,\N
15693,994,10,8.0,\N
15694,994,5,6.0,\N
15695,994,4,5.0,\N
15696,994,15,0.0,\N
15697,994,210,0.0,\N
15698,994,1,0.0,\N
15699,994,3,0.0,\N
15700,995,6,33.0,\N
15701,995,131,28.0,\N
15702,995,9,27.0,\N
15703,995,4,10.0,\N
15704,995,10,2.0,\N
15705,995,15,1.0,\N
15706,995,5,0.0,\N
15707,995,210,0.0,\N
15708,995,1,0.0,\N
15709,995,3,0.0,\N
15710,996,131,31.0,\N
15711,996,9,30.0,\N
15712,996,6,25.0,\N
15713,996,210,8.0,\N
15714,996,4,6.0,\N
15715,996,15,1.0,\N
15716,996,1,0.0,\N
15717,996,5,0.0,\N
15718,996,3,0.0,\N
15719,996,10,0.0,\N
15720,997,9,25.0,\N
15721,997,6,33.0,\N
15722,997,210,22.0,\N
15723,997,10,14.0,\N
15724,997,1,4.0,\N
15725,997,15,3.0,\N
15726,997,5,0.0,\N
15727,997,4,0.0,\N
15728,997,3,0.0,\N
15729,997,131,0.0,\N
15730,998,6,40.0,\N
15731,998,131,30.0,\N
15732,998,9,10.0,\N
15733,998,4,8.0,\N
15734,998,10,7.0,\N
15735,998,1,4.0,\N
15736,998,210,2.0,\N
15737,998,3,0.0,\N
15738,998,5,0.0,\N
15739,998,15,0.0,\N
15740,999,131,43.0,\N
15741,999,6,15.0,\N
15742,999,9,12.0,\N
15743,999,4,10.0,\N
15744,999,210,8.0,\N
15745,999,10,10.0,\N
15746,999,15,2.0,\N
15747,999,5,1.0,\N
15748,999,1,0.0,\N
15749,999,3,0.0,\N
15750,1000,131,35.0,\N
15751,1000,6,33.0,\N
15752,1000,9,12.0,\N
15753,1000,5,8.0,\N
15754,1000,210,7.0,\N
15755,1000,1,4.0,\N
15756,1000,4,2.0,\N
15757,1000,10,0.0,\N
15758,1000,15,0.0,\N
15759,1000,3,0.0,\N
15760,1001,6,25.0,\N
15761,1001,131,30.0,\N
15762,1001,9,15.0,\N
15763,1001,10,18.0,\N
15764,1001,210,10.0,\N
15765,1001,5,2.0,\N
15766,1001,15,1.0,\N
15767,1001,4,0.0,\N
15768,1001,3,0.0,\N
15769,1001,1,0.0,\N
15770,1002,131,40.0,\N
15771,1002,6,30.0,\N
15772,1002,9,10.0,\N
15773,1002,210,0.0,\N
15774,1002,10,14.0,\N
15775,1002,4,4.0,\N
15776,1002,3,3.0,\N
15777,1002,15,0.0,\N
15778,1002,1,0.0,\N
15779,1002,5,0.0,\N
15780,1003,131,37.0,\N
15781,1003,9,26.0,\N
15782,1003,6,25.0,\N
15783,1003,1,6.0,\N
15784,1003,4,5.0,\N
15785,1003,15,2.0,\N
15786,1003,5,0.0,\N
15787,1003,3,0.0,\N
15788,1003,210,0.0,\N
15789,1003,10,0.0,\N
15790,1004,131,43.0,\N
15791,1004,6,27.0,\N
15792,1004,9,18.0,\N
15793,1004,15,6.0,\N
15794,1004,210,4.0,\N
15795,1004,10,3.0,\N
15796,1004,4,0.0,\N
15797,1004,1,0.0,\N
15798,1004,3,0.0,\N
15799,1004,5,0.0,\N
15800,1005,131,43.0,\N
15801,1005,9,27.0,\N
15802,1005,6,18.0,\N
15803,1005,10,8.0,\N
15804,1005,210,4.0,\N
15805,1005,4,1.0,\N
15806,1005,5,0.0,\N
15807,1005,15,0.0,\N
15808,1005,1,0.0,\N
15809,1005,3,0.0,\N
15810,1006,6,37.0,\N
15811,1006,9,18.0,\N
15812,1006,131,25.0,\N
15813,1006,4,14.0,\N
15814,1006,10,4.0,\N
15815,1006,210,0.0,\N
15816,1006,5,2.0,\N
15817,1006,15,1.0,\N
15818,1006,1,0.0,\N
15819,1006,3,0.0,\N
15822,1007,131,22.0,\N
15823,1007,4,8.0,\N
15824,1007,15,8.0,\N
15825,1007,1,4.0,\N
15826,1007,5,1.0,\N
15827,1007,10,0.0,\N
15828,1007,3,0.0,\N
15829,1007,210,0.0,\N
15830,1008,131,35.0,\N
15831,1008,9,30.0,\N
15832,1008,6,23.0,\N
15833,1008,15,6.0,\N
15834,1008,210,6.0,\N
15835,1008,10,1.0,\N
15836,1008,5,0.0,\N
15837,1008,4,0.0,\N
15838,1008,1,0.0,\N
15839,1008,3,0.0,\N
15840,1009,131,35.0,\N
15841,1009,6,18.0,\N
15842,1009,9,27.0,\N
15843,1009,4,8.0,\N
15844,1009,15,6.0,\N
15845,1009,10,4.0,\N
15846,1009,210,3.0,\N
15847,1009,1,0.0,\N
15848,1009,5,0.0,\N
15849,1009,3,0.0,\N
15850,1010,131,44.0,\N
15851,1010,9,15.0,\N
15852,1010,6,22.0,\N
15853,1010,210,8.0,\N
15854,1010,4,6.0,\N
15855,1010,51,4.0,\N
15856,1010,211,2.0,\N
15857,1010,5,1.0,\N
15858,1010,1,0.0,\N
15859,1010,3,0.0,\N
15860,1011,131,43.0,\N
15861,1011,6,26.0,\N
15862,1011,9,16.0,\N
15863,1011,1,8.0,\N
15864,1011,51,6.0,\N
15865,1011,211,1.0,\N
15866,1011,210,0.0,\N
15867,1011,3,0.0,\N
15868,1011,4,0.0,\N
15869,1011,5,2.0,\N
15870,1012,131,43.0,\N
15871,1012,6,25.0,\N
15872,1012,9,21.0,\N
15873,1012,4,6.0,\N
15874,1012,211,4.0,\N
15875,1012,51,2.0,\N
15876,1012,5,1.0,\N
15877,1012,210,0.0,\N
15878,1012,1,0.0,\N
15879,1012,3,0.0,\N
15880,1013,131,43.0,\N
15881,1013,6,26.0,\N
15882,1013,9,12.0,\N
15883,1013,211,10.0,\N
15884,1013,1,10.0,\N
15885,1013,51,1.0,\N
15886,1013,5,0.0,\N
15887,1013,210,0.0,\N
15888,1013,4,0.0,\N
15889,1013,3,0.0,\N
15890,1014,131,44.0,\N
15891,1014,9,23.0,\N
15892,1014,6,22.0,\N
15893,1014,210,7.0,\N
15894,1014,1,4.0,\N
15895,1014,5,2.0,\N
15896,1014,4,0.0,\N
15897,1014,51,0.0,\N
15898,1014,211,0.0,\N
15899,1014,3,0.0,\N
15900,1015,131,40.0,\N
15901,1015,6,18.0,\N
15902,1015,9,23.0,\N
15903,1015,1,8.0,\N
15904,1015,5,10.0,\N
15905,1015,4,2.0,\N
15906,1015,210,1.0,\N
15907,1015,211,0.0,\N
15908,1015,3,0.0,\N
15909,1015,51,0.0,\N
15910,1016,131,38.0,\N
15911,1016,6,33.0,\N
15912,1016,9,14.0,\N
15913,1016,4,14.0,\N
15914,1016,211,2.0,\N
15915,1016,5,1.0,\N
15916,1016,1,0.0,\N
15917,1016,51,0.0,\N
15918,1016,210,0.0,\N
15919,1016,3,0.0,\N
15920,1017,131,43.0,\N
15921,1017,6,26.0,\N
15922,1017,9,13.0,\N
15923,1017,1,10.0,\N
15924,1017,4,4.0,\N
15925,1017,51,6.0,\N
15926,1017,211,0.0,\N
15927,1017,5,0.0,\N
15928,1017,210,0.0,\N
15929,1017,3,0.0,\N
15930,1018,9,32.0,\N
15931,1018,6,30.0,\N
15932,1018,131,25.0,\N
15933,1018,1,12.0,\N
15934,1018,51,3.0,\N
15935,1018,211,0.0,\N
15936,1018,4,0.0,\N
15937,1018,5,0.0,\N
15938,1018,210,0.0,\N
15939,1018,3,0.0,\N
15940,1019,131,44.0,\N
15941,1019,6,15.0,\N
15942,1019,9,22.0,\N
15943,1019,1,8.0,\N
15944,1019,4,7.0,\N
15945,1019,51,4.0,\N
15946,1019,5,2.0,\N
15947,1019,211,0.0,\N
15948,1019,3,0.0,\N
15949,1019,210,0.0,\N
15950,1020,9,26.0,\N
15951,1020,6,18.0,\N
15952,1020,5,23.0,\N
15953,1020,211,12.0,\N
15954,1020,1,10.0,\N
15955,1020,51,0.0,\N
15956,1020,210,10.0,\N
15957,1020,131,2.0,\N
15958,1020,3,1.0,\N
15959,1020,4,0.0,\N
15960,1021,131,29.0,\N
15961,1021,9,27.0,\N
15962,1021,6,27.0,\N
15963,1021,1,12.0,\N
15964,1021,51,6.0,\N
15965,1021,5,1.0,\N
15966,1021,211,0.0,\N
15967,1021,4,0.0,\N
15968,1021,210,0.0,\N
15969,1021,3,0.0,\N
15970,1022,6,38.0,\N
15971,1022,131,33.0,\N
15972,1022,9,10.0,\N
15973,1022,211,9.0,\N
15974,1022,5,8.0,\N
15975,1022,4,4.0,\N
15976,1022,1,0.0,\N
15977,1022,210,0.0,\N
15978,1022,3,0.0,\N
15979,1022,51,0.0,\N
15980,1023,6,25.0,\N
15981,1023,131,34.0,\N
15982,1023,4,22.0,\N
15983,1023,9,12.0,\N
15984,1023,211,6.0,\N
15985,1023,51,2.0,\N
15986,1023,1,1.0,\N
15987,1023,5,0.0,\N
15988,1023,3,0.0,\N
15989,1023,210,0.0,\N
15990,1024,6,43.0,\N
